"scene_name","start_image","end_image","prompt","gpt_prompt","color"
"01_雨夜远景","","","镜头推近 雨丝斜飞 霓虹倒映","夜间俯视广角镜头,纯环境空镜,画面中无任何人物,无招牌文字,中国都市老旧街区,狭窄街巷纵横,低矮老楼+少量中层建筑(非高耸摩天大楼),墙面霓虹灯带光晕(只画光晕不写字),冷雨倾盆,湿滑地面反射紫青色倒影,远处楼宇模糊于雨幕中,电影感低饱和冷色调,主色深蓝紫+粉紫霓虹+青色霓虹点缀,雨丝清晰可见斜飞,氛围压抑悬疑,横屏 16:9。摄影风格:cinematic photorealistic still,shot on 35mm film,long exposure,film grain,rain mist,real street ambience;真实感锚:像一位摄影师在街角架机位实拍,不是 CG 渲染,不要过饱和。首帧:镜头距街区较远,雨丝细密;尾帧:相机沿前后轴明显推进,焦段 24→35mm,构图更紧,雨势从细密变密集成线,霓虹光晕显著扩散,地面水洼涟漪密度翻倍,远处楼宇更糊化。 【⚠️ 空镜硬性要求】画面中绝对不得出现任何人物、剪影、背影、手或人影,只拍环境/建筑/天气/物品。【⚠️ 首尾帧差异硬要求】首尾帧放一起对比必须一眼看出不同,相机运动(写死方向/距离/角度)、天气光线变化、动态元素位移,三轴至少命中两轴,禁止使用任何模糊词如「略」「稍微」「基本」,所有变化必须明确量化。","rainy_night"
"02_标题浮现","","","雨滴砸玻璃 字卡缓缓浮出","极近景镜头,纯环境空镜,画面中无任何人物,雨水猛砸在一块倾斜玻璃上,水珠沿着玻璃下滑变形,背景是虚化的中国都市夜景霓虹光晕(只有光斑不出现招牌字),画面中央留白预留标题位,电影海报极简构图,冷色调为主,深蓝紫底色点缀粉紫与青色霓虹光晕,质感厚重压迫,横屏构图。摄影风格:cinematic photorealistic still,shot on 35mm film,long exposure,film grain,rain mist,real street ambience;真实感锚:像一位摄影师在街角架机位实拍,不是 CG 渲染,不要过饱和。首帧:一大颗水珠悬停在玻璃中央未落下;尾帧:相机沿玻璃表面微俯冲靠近约 10cm,焦点拉到水珠裂开的瞬间,水珠已砸开溅成水花,周围多出 5-6 颗卫星小水珠向四周飞散,背景霓虹光斑轻微散焦。 【⚠️ 空镜硬性要求】画面中绝对不得出现任何人物、剪影、背影、手或人影,只拍环境/建筑/天气/物品。【⚠️ 首尾帧差异硬要求】首尾帧放一起对比必须一眼看出不同,相机运动(写死方向/距离/角度)、天气光线变化、动态元素位移,三轴至少命中两轴,禁止使用任何模糊词如「略」「稍微」「基本」,所有变化必须明确量化。","rainy_night"
"03_巷内负伤","","","俯视近景 男子靠墙 伤痕渗出","俯视近景镜头,一条狭窄后巷堆满垃圾袋,林渊(30岁亚洲硬汉,身高180,肌肉精悍,黑色短发,眉骨深,眼神凌厉,黑色T恤被雨水浸透,右肩和腹部可见暗色伤痕不血腥)靠着斑驳砖墙席地而坐,右手握一把市井款砍刀垂在身侧,左手按压肩膀,表情疲惫但眼神锐利,地面湿滑反光,远处巷口透出紫青色霓虹光,电影级打光,写实风格,冷色调,横屏 16:9。摄影风格:photorealistic close-up,50mm lens,shallow depth of field,subtle film grain,dim neon rim light;真实感锚:可见毛孔、皮肤瑕疵、雨珠质感,不要假皮肤,不要过度锐化。首帧:林渊低头闭眼休息;尾帧:相机低角度微俯冲约 30cm,林渊头部由低垂缓慢抬起至 30° 角,眼神由疲惫转为锐利,右手握紧刀柄指节泛白,雨水从发梢滴落。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","rainy_night"
"04_黑卡特写","","","手部特写 黑卡塞入桶底","极近景微距镜头,林渊的手(指节粗壮有淡疤)靠近一个生锈垃圾桶底部的缝隙,手中捏着一张拇指大小纯黑色磁条卡(卡带金色边框,右上角压凹金色字母),卡片表面反射微弱紫光,其余画面虚化,雨水湿润质感,冷色调,电影感,横屏构图。摄影风格:photorealistic close-up,50mm lens,shallow depth of field,subtle film grain,dim neon rim light;真实感锚:可见毛孔、皮肤瑕疵、雨珠质感,不要假皮肤,不要过度锐化。首帧:手捏着黑卡悬在缝隙前方尚未塞入;尾帧:相机微拉开显露更多缝隙环境,景深变浅,手指已将黑卡塞入缝隙深处,只露出卡片边缘约 5mm,手正以明确轨迹缓慢抽回,背景湿润砖墙的水珠有肉眼可见的下滑。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","rainy_night"
"05_走出巷口","","","跟镜 男子握刀 缓步向前","跟拍镜头从人物身后跟随,林渊(30岁硬汉,身高180,肌肉精悍,黑色短发,黑色T恤被血雨浸透)从阴暗巷道走向明亮巷口,右手反握砍刀垂在身侧,左肩湿透,身后是堆积垃圾与湿漉地面,巷口透出街道紫青色霓虹,构图阴阳对比强烈,人物呈深色剪影,远景光源为紫青色霓虹,电影感,中国都市背景,冷色调,横屏 16:9。摄影风格:photorealistic candid action shot,shot on 35mm film,motion blur,subtle grain,natural rain-soaked atmosphere;真实感锚:真实皮肤纹理、湿发贴额、汗水/雨水自然流淌,不修图不美化,不要 HDR 光晕。首帧:林渊在巷子深处,距巷口还有几米,身形偏暗;尾帧:相机水平右摇约 15° 跟随林渊步伐,林渊向前走出两步更接近巷口,身形被霓虹光勾出更亮的轮廓,前景雨丝密度加大,巷口光斑更明亮。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","rainy_night"
"06_七人现身","","","对视中景 七道人影 雨幕走出","中景平视镜头,雨幕中七个男人从街角走出并列排开,前排两人:左边是眼镜反派(28岁,戴无框眼镜,白衬衫+黑色风衣,镜片反光,右手持黑色自动手枪),右边是刀疤青年(190高,脸颊右侧蜈蚣状长疤,黑色皮衣,短寸头),后排五个红头发小混混各握砍刀,所有人站湿滑街面,背后模糊中国都市霓虹招牌光晕(不写字),冷色调,雨滴清晰,横屏构图。摄影风格:cinematic photorealistic still,shot on 35mm film,long exposure,film grain,rain mist,real street ambience;真实感锚:像一位摄影师在街角架机位实拍,不是 CG 渲染,不要过饱和。首帧:七人刚从街角阴影走出,身形尚在半明半暗;尾帧:相机沿轴向推进约画宽 10%,七人向前走半步整体走入霓虹光下,眼镜反派嘴角已扬起冷笑,镜片反光多出一道,背景雨幕更密。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","rainy_night"
"07_举枪书生","","","手枪特写 镜片水珠 嘴角冷笑","低角度仰视近景特写,眼镜反派半边脸加持枪手臂,28岁,无框眼镜镜片挂雨珠并反光遮住眼睛,只露出扬起的嘴角,右手稳举一把黑色自动手枪指向画面外,背后是雨幕与模糊街灯光晕(中国都市霓虹不写字),紫青色霓虹从侧面打光,冷色调,电影感,横屏。摄影风格:photorealistic close-up,50mm lens,shallow depth of field,subtle film grain,dim neon rim light;真实感锚:可见毛孔、皮肤瑕疵、雨珠质感,不要假皮肤,不要过度锐化。首帧:嘴角刚开始扬起,枪口略低;尾帧:相机略微下压变仰角,嘴角完全扬起形成嘲讽冷笑,枪口从略低抬平瞄准镜头外,镜片多一道明显光反射,背景雨势加大。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","rainy_night"
"08_刀疤打手","","","侧脸特写 刀疤泛光 冷笑漠然","侧拍近景特写,刀疤青年侧脸,28岁,身高190,黑色皮夹克,短寸头发,脸颊右侧一条约10厘米深色蜈蚣状长疤,嘴角微扬冷笑,眼神漠然无情,雨水顺着脸颊和下颌线滑落,背景是模糊的巷口紫色霓虹光晕(中国都市不写字),低光高对比电影感,冷色调,横屏 16:9。摄影风格:photorealistic close-up,50mm lens,shallow depth of field,subtle film grain,dim neon rim light;真实感锚:可见毛孔、皮肤瑕疵、雨珠质感,不要假皮肤,不要过度锐化。首帧:嘴角平直,表情漠然;尾帧:相机微推近脸部特写,嘴角由平直扬起冷笑,脖颈肌肉拉紧,一道新的雨水从眉骨滑下至下颌,刀疤在霓虹光下更清晰。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","rainy_night"
"09_男子怒目","","","对切中景 男子持刀 目光冰冷","中景对切镜头,林渊(30岁硬汉,身高180,肌肉精悍,黑色短发,眉骨深,黑T恤湿透)站立于雨中,右手握砍刀垂于身侧,左手微握成拳,眼神锐利冰冷充满杀意,嘴角抿紧,背后是狭窄巷道尽头的湿滑墙面,紫青色霓虹从左侧投射长阴影,冷色调电影质感,中国都市背景,横屏。摄影风格:photorealistic close-up,50mm lens,shallow depth of field,subtle film grain,dim neon rim light;真实感锚:可见毛孔、皮肤瑕疵、雨珠质感,不要假皮肤,不要过度锐化。首帧:林渊眼神冷峻但平静;尾帧:相机微推近并略微下压,林渊眼神杀意更浓,左手握拳收紧,右手刀尖明显上抬约 10cm,嘴唇抿成直线,雨水从发梢滴落。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","rainy_night"
"10_突然前冲","","","低角度追镜 爆发冲刺","低角度动态追镜,林渊(30岁硬汉,肌肉精悍,黑T恤,握砍刀)从静止爆发冲向前方,右手握刀抬起,衣角飞扬,地面水花四溅,身后雨幕形成速度线模糊,镜头向前压缩透视,电影级动作戏构图,紫青色霓虹底光,中国都市背景,冷色调,横屏 16:9。摄影风格:photorealistic candid action shot,shot on 35mm film,motion blur,subtle grain,natural rain-soaked atmosphere;真实感锚:真实皮肤纹理、湿发贴额、汗水/雨水自然流淌,不修图不美化,不要 HDR 光晕。首帧:林渊刚迈出第一步,身体微前倾,右脚刚离地;尾帧:相机沿轴向后拉约 1 米让冲刺范围完整入画,林渊已冲出两米距离,身体前倾幅度更大,脚下激起大片水花,动态模糊速度线更强,背景灯光拖出光带。【⚠️ 首尾帧差异硬要求】首尾帧放一起必须肉眼可见差异,相机运动(推/拉/摇/俯仰,写死角度或距离)与人物动作表情变化至少命中一项,首尾图是动作的两个端点而不是同一瞬间的双胞胎。","rainy_night"
